price_level,address_verified,has_website,has_email,has_social,has_phone,socials_count,instagram_engagement_rate,reviews_count_30d,reviews_count_90d,beam_velocity_reviews_per_month,sentiment_avg,sentiment_positive_pct_360d,sentiment_negative_pct_360d,log_reviews_total_count,log_instagram_followers,log_instagram_post_count,log_reviews_count_360d,log_website_domain_age,review_recency_ratio,has_description,description_length,tag_dine_in,tag_takeout,tag_delivery,tag_drive_through,tag_curbside,tag_alcohol,tag_beer,tag_cocktails,tag_coffee,tag_late_night_food,tag_comfort_food,tag_vegan_options,tag_vegetarian_options,tag_breakfast,tag_brunch,tag_lunch,tag_dinner,tag_dessert,tag_seating,tag_catering,tag_casual,tag_cozy,tag_upscale,tag_lively,tag_quiet,tag_historic,tag_romantic,tag_trendy,tag_bar_onsite,tag_live_music,tag_outdoor_seating,tag_wifi,tag_restroom,tag_parking,tag_credit_cards,tag_debit_cards,tag_cash_only,tag_nfc_mobile_payments,tag_fast_service,tag_great_cocktails,tag_great_beer_selection,tag_groups,tag_tourists,tag_families,tag_locals,tag_kids_menu,tag_high_chairs,tag_good_for_kids,has_menu_link,has_order_links,has_reservation_link,sentiment_trend_num,category_count,cat_restaurant,cat_american_restaurant,cat_pizza_restaurant,cat_fast_food_restaurant,cat_bar,cat_italian_restaurant,cat_sandwich_shop,cat_takeout_restaurant,cat_caterer,cat_bar_&_grill,cat_breakfast_restaurant,cat_family_restaurant,cat_mexican_restaurant,cat_hamburger_restaurant,cat_seafood_restaurant,rating
2,1,1,1,1,1,6,0.37,,,,0.5943,80.7,14.05,7.002155954403621,15.522789263679513,6.202535517187923,0.0,9.359363643368622,0.0,1,68,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,6,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3.39
2,1,1,1,1,1,6,0.46,,,,0.5943,80.7,14.05,7.037027614686276,7.136483208590247,7.232010331664759,0.0,9.141847375530883,0.0,1,83,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0.0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.37
2,1,1,1,1,1,3,13.27,,,,0.5943,80.7,14.05,6.679599185844383,4.875197323201151,2.772588722239781,0.0,6.335054251498059,0.0,1,97,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
3,1,1,1,1,1,10,3.9,,,,0.5943,80.7,14.05,7.014814351275545,8.014666370464942,3.6375861597263857,0.0,7.96032362914884,0.0,1,100,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58
2,1,1,1,1,1,5,4.84,,,,0.5943,80.7,14.05,6.2324480165505225,7.443078374348515,6.206575926724928,0.0,8.272570608424903,0.0,1,100,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0.0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.69
2,1,1,1,1,1,4,7.7,,,,0.5943,80.7,14.05,6.966967138613983,5.676753802268282,1.791759469228055,0.0,7.682943169878292,0.0,1,98,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0.0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.21
1,1,1,1,1,1,1,1.01,,,,0.5943,80.7,14.05,5.849324779946859,0.0,0.0,0.0,7.405495663199472,0.0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32
2,1,1,1,1,1,7,2.57,,,,0.5943,80.7,14.05,6.932447891572509,13.388348769974261,7.659642954564682,0.0,9.260272740724393,0.0,1,94,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0.0,8,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,3.63
2,1,1,1,1,1,2,1.01,,,,0.5943,80.7,14.05,6.3578422665081,0.0,0.0,0.0,7.434847875211999,0.0,1,93,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0.0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.25
2,1,1,1,1,1,1,1.01,,,,0.5943,80.7,14.05,6.520621127558696,0.0,0.0,0.0,7.7284157798410416,0.0,1,90,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95
2,1,1,1,1,1,9,0.49,,,,0.5943,80.7,14.05,6.928537818164665,12.412818486234652,7.488852955733459,0.0,9.268514936027255,0.0,1,56,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0.0,10,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,4.0
2,1,1,1,1,1,7,0.37,,,,0.5943,80.7,14.05,6.937314081223682,15.522789263679513,6.202535517187923,0.0,9.359363643368622,0.0,1,68,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0,6,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3.4
2,1,1,1,1,1,5,0.51,,,,0.5943,80.7,14.05,6.931471805599453,8.214194414852564,6.792344427470809,0.0,8.909370405197466,0.0,1,93,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.0,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4.37
2,1,1,1,1,1,3,1.01,,,,0.5943,80.7,14.05,6.638567789166521,0.0,0.0,0.0,7.2868764117507,0.0,1,98,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
